,version,app,par,dataset,variant,cycles,DRAM_rd,DRAM_wr,PeakLink,SRAM_rd,SRAM_wr,dim_0_2,dim_0_4
0,v25,Plus2CSR,1,B_200_0_025,HBM2_network,631.0,55.5046,25.1189,0.3977812995245642,1.5213946117274169,1.622820919175911,,
1,v25,Plus2CSR,1,B_200_0_0125,HBM2_network,553.0,34.9433,15.0418,0.4358047016274864,1.7359855334538878,1.8517179023508137,,
2,v25,Plus2CSR,1,B_200_0_00625,HBM2_network,551.0,20.4336,7.89478,0.4355716878402904,1.7422867513611615,1.8584392014519056,,
3,v25,Plus2CSR,1,B_200_0_1,HBM2_network,1432.0,89.3543,42.0859,0.4266759776536313,0.6703910614525139,0.7150837988826816,,
4,v25,Plus2CSR,1,B_200_0_2,HBM2_network,2598.0,94.8641,44.526,0.39915319476520394,0.3695150115473441,0.3941493456505004,,
5,v25,Plus2CSR,1,B_200_0_05,HBM2_network,784.0,84.8574,39.4097,0.4808673469387755,1.2244897959183674,1.3061224489795915,,
6,v25,Plus2CSR,1,B_200_0_8,HBM2_network,7518.0,109.618,41.1473,0.3407821229050279,0.12769353551476456,0.13620643788241554,,
7,v25,Plus2CSR,1,B_200_0_4,HBM2_network,4811.0,96.4547,42.6146,0.3604240282685512,0.1995427146123467,0.2128455622531698,,
8,v25,Plus2CSR,2,B_200_0_0125,HBM2_network,411.0,46.9982,18.3635,0.2944038929440389,2.335766423357664,2.64720194647202,,
9,v25,Plus2CSR,1,B_200_1,HBM2_network,8678.0,111.18299999999999,37.1029,0.3042175616501498,0.11062456787278174,0.11799953906430052,,
10,v25,Plus2CSR,2,B_200_0_05,HBM2_network,580.0,114.759,52.4138,0.3293103448275862,1.6551724137931034,1.8758620689655168,,
11,v25,Plus2CSR,2,B_200_0_1,HBM2_network,816.0,156.695,68.1622,0.3786764705882353,1.1764705882352942,1.3333333333333333,,
12,v25,Plus2CSR,2,B_200_0_00625,HBM2_network,383.0,29.4003,9.35465,0.3133159268929504,2.506527415143603,2.8407310704960835,,
13,v25,Plus2CSR,2,B_200_0_025,HBM2_network,436.0,80.2793,33.9868,0.29357798165137616,2.201834862385321,2.4954128440366974,,
14,v25,Plus2CSR,2,B_200_0_2,HBM2_network,1586.0,155.416,72.5031,0.32849936948297603,0.605296343001261,0.6860025220680959,,
15,v25,Plus2CSR,2,B_200_0_8,HBM2_network,4564.0,181.005,68.0049,0.2808939526730937,0.21034180543383,0.238387379491674,,
16,v25,Plus2CSR,4,B_200_0_00625,HBM2_network,360.0,31.2889,5.1555599999999995,0.16666666666666666,2.6666666666666665,3.3777777777777778,,
17,v25,Plus2CSR,4,B_200_0_0125,HBM2_network,401.0,48.1695,13.5576,0.15211970074812967,2.3940149625935163,3.0324189526184537,,
18,v25,Plus2CSR,2,B_200_0_4,HBM2_network,2849.0,163.0,71.9653,0.3071253071253071,0.3369603369603369,0.38188838188838187,,
19,v25,Plus2CSR,2,B_200_1,HBM2_network,4837.0,199.56099999999998,66.5203,0.2728964234029357,0.198470126111226,0.2249328095927228,,
20,v25,Plus2CSR,4,B_200_0_1,HBM2_network,729.0,175.493,72.654,0.21810699588477367,1.316872427983539,1.6680384087791496,,
21,v25,Plus2CSR,4,B_200_0_05,HBM2_network,534.0,124.557,54.0145,0.1816479400749064,1.7977528089887642,2.2771535580524342,,
22,v25,Plus2CSR,4,B_200_0_025,HBM2_network,433.0,80.8576,31.4282,0.15473441108545036,2.2170900692840645,2.8083140877598147,,
23,v25,Plus2CSR,4,B_200_0_2,HBM2_network,1067.0,230.94,95.1457,0.246485473289597,0.8997188378631678,1.139643861293346,,
24,v25,Plus2CSR,4,B_200_0_4,HBM2_network,2184.0,212.857,93.1415,0.2023809523809524,0.4395604395604396,0.5567765567765568,,
25,v25,Plus2CSR,4,B_200_1,HBM2_network,3401.0,284.03700000000003,94.2148,0.19406057042046454,0.28226992061158485,0.3575418994413408,,
26,v25,Plus2CSR,8,B_200_0_00625,HBM2_network,391.0,28.7439,0.0,0.07672634271099744,2.4552429667519178,3.7647058823529416,,
27,v25,Plus2CSR,4,B_200_0_8,HBM2_network,3426.0,240.87,89.7728,0.18797431406888496,0.2802101576182137,0.354932866316404,,
28,v25,Plus2CSR,8,B_200_0_0125,HBM2_network,401.0,48.0946,7.96267,0.0773067331670823,2.3940149625935163,3.670822942643392,,
29,v25,Plus2CSR,8,B_200_0_025,HBM2_network,426.0,82.2804,26.8762,0.08450704225352113,2.2535211267605635,3.455399061032864,,
30,v25,Plus2CSR,8,B_200_0_05,HBM2_network,443.0,150.20600000000002,38.7069,0.1128668171557562,2.16704288939052,3.3227990970654626,,
31,v25,Plus2CSR,8,B_200_0_1,HBM2_network,575.0,222.36700000000002,94.3948,0.1443478260869565,1.6695652173913045,2.56,,
32,v25,Plus2CSR,8,B_200_0_2,HBM2_network,966.0,255.173,115.109,0.13768115942028986,0.9937888198757764,1.5238095238095235,,
33,v25,Plus2CSR,8,B_200_0_4,HBM2_network,1753.0,265.707,115.501,0.1266400456360525,0.5476326297775242,0.8397033656588705,,
34,v25,Plus2CSR,8,B_200_0_8,HBM2_network,2815.0,295.264,110.039,0.11509769094138544,0.3410301953818828,0.5229129662522203,,
35,v25,Plus2CSR,8,B_200_1,HBM2_network,3200.0,304.08099999999996,101.56,0.103125,0.3,0.46,,
36,v25,SDDMM,12,B_100_0_4,HBM2_network  	DEADLOCK: 4417,,,,,,,,
37,v25,SDDMM,12,B_300_0_4,HBM2_network  	DEADLOCK: 51346,,,,,,,,
38,v25,SDDMM,2,B_100_0_4,HBM2_network  	DEADLOCK: 13631,,,,,,,,
39,v25,SDDMM,12,B_500_0_4,HBM2_network  	DEADLOCK: 265393,,,,,,,,
40,v25,SDDMM,2,B_300_0_4,HBM2_network  	DEADLOCK: 240522,,,,,,,,
41,v25,SDDMM,12,B_700_0_4,HBM2_network  	DEADLOCK: 632786,,,,,,,,
42,v25,SDDMM,2,B_500_0_4,HBM2_network  	DEADLOCK: 1035556,,,,,,,,
43,v25,SDDMM,4,B_100_0_4,HBM2_network  	DEADLOCK: 8008,,,,,,,,
44,v25,SDDMM,2,B_700_0_4,HBM2_network  	DEADLOCK: 2759756,,,,,,,,
45,v25,SDDMM,2,B_900_0_4,HBM2_network  	DEADLOCK: 5773907,,,,,,,,
46,v25,SDDMM,12,B_1100_0_4,HBM2_network  	DEADLOCK: 2659288,,,,,,,,
47,v25,SDDMM,2,B_1100_0_4,HBM2_network  	DEADLOCK: 10443319,,,,,,,,
48,v25,SDDMM,4,B_300_0_4,HBM2_network  	DEADLOCK: 121880,,,,,,,,
49,v25,SDDMM,12,B_900_0_4,HBM2_network  	DEADLOCK: 1431154,,,,,,,,
50,v25,SDDMM,4,B_500_0_4,HBM2_network  	DEADLOCK: 519241,,,,,,,,
51,v25,SDDMM,2,B_1300_0_4,HBM2_network  	DEADLOCK: 17751943,,,,,,,,
52,v25,SDDMM,8,B_100_0_4,HBM2_network  	DEADLOCK: 5432,,,,,,,,
53,v25,SDDMM,8,B_300_0_4,HBM2_network  	DEADLOCK: 64824,,,,,,,,
54,v25,SDDMM,4,B_700_0_4,HBM2_network  	DEADLOCK: 1388871,,,,,,,,
55,v25,SpMV,16,B_0_0_2,HBM2_network  	DEADLOCK: 1921,,,,,,,0.0,
56,v25,SDDMM,2,B_1500_0_4,HBM2_network  	DEADLOCK: 27045493,,,,,,,,
57,v25,SpMV,16,B_0_0_4,HBM2_network  	DEADLOCK: 1921,,,,,,,,0.0
58,v25,SDDMM,8,B_500_0_4,HBM2_network  	DEADLOCK: 300691,,,,,,,,
59,v25,SpMV,16,B_1000_0_2,HBM2_network,2136.0,754.0089999999999,1.88742,0.3862359550561798,359.8014981273408,1.8876404494382024,1000.0,
